0																				
0	0	0	0	0	0	0	0	0	0	0	0	80	85	90	95	100				
end																				
1																				
0	12	212	12	509	1	14	13	30	14	14	30	14	22	10	1	12	503	0	1	1
0	12	213	12	509	1	14	13	30	14	14	30	14	22	10	1	12	503	0	1	1
0	12	214	12	509	1	14	13	30	14	14	30	14	22	10	1	12	503	0	1	1
0	12	306	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
0	12	307	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
0	12	308	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
0	12	208	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
0	12	209	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
0	12	210	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
0	12	211	12	509	1	14	13	30	14	14	30	14	22	10	1	12	500	0	1	1
end																				
2																				
0	1	0	0	0	0	0	0	0	70	80	90	100								
0	2	85	90	95	100	100	100	100	100	100	100	100								
0	3	100	100	100	100	100	100	100	100	100	100	100								
1	-1	0	0	0	0	0	0	0	0	0	0	100								
end																				
3																				
12	221	12	510	1	14	13	30	14	14	30	14	22	10	12	505	0	1	1	1	
12	231	12	510	1	14	13	30	14	14	30	14	22	10	12	506	0	1	1	1	
12	241	12	510	1	14	13	30	14	14	30	14	22	10	12	507	0	1	1	1	
12	251	12	510	1	14	13	30	14	14	30	14	22	10	12	508	0	1	1	1	
end																				
