////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//	[ Text  Version ]		1.0.0.8
//	[ 최종 작업자 ]		설희원
//	[ 최종 작업일 ]		2011-10-13 21:53 PM
//	[ 작 업 내 용 ]		스크립트 확률 수정
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// 보석 아이템 옵션 인덱스
// 각 아이템은 뒤에 추가 아이템 공간을 남겨두고 10 단위로 Index 표시
// Item Type : Item 스크립트 상의 아이템 종류 예, 0 검류~
// Item Index : Item 스크립트 상의 실제 아이템
//Rank : 속성 보석 아이템의 랭크
//Option : 속성 보석 아이템의 랭크에 종속된 옵션
//0~10 강화 단계, 강화 단계별 옵션 수치 밸런싱
//Rate : 각 레벨업 단계 레벨업 강화 성공 확률.. 각 보석/ 각 랭크 단위로 계열 확률 동일하게 기록할 것.. 안그러면 오류남.
//Option Rate : 해당 랭크업 업그레이드 시, 해당 옵션이 붙을 확률
//각 레벨업 단계 레벨업 성공 확률. 10000율 기준
//Index	Type	Item Index	Rank Level	Option	Acpuisition_Rate	RON	0	Rate	1	Rate	2	Rate	3	Rate	4	Rate	5	Rate	6	Rate	7	Rate	8	Rate	9	Rate	10	Rate	ENG	변수종류
0
// Errtel of Anger ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// Rank 1
0	12	221	1	1	10000	101	30	0	33	9000	38	8500	45	8000	54	7500	65	7000	78	6500	93	6000	113	5500	138	5000	168	5000	"Elemental Damage +%d"	0	
// Rank 2
10	12	221	2	1	2000	111	226	0	242	8500	258	8000	274	7500	290	7000	306	6500	337	6000	368	5500	399	5000	430	4500	461	4500	"Attack Against Fire Element +%d"	0	
11	12	221	2	2	2000	112	226	0	242	8500	258	8000	274	7500	290	7000	306	6500	337	6000	368	5500	399	5000	430	4500	461	4500	"Attack Against Water Element +%d"	0	
12	12	221	2	3	2000	113	226	0	242	8500	258	8000	274	7500	290	7000	306	6500	337	6000	368	5500	399	5000	430	4500	461	4500	"Attack Against Earth Element +%d"	0	
13	12	221	2	4	2000	114	226	0	242	8500	258	8000	274	7500	290	7000	306	6500	337	6000	368	5500	399	5000	430	4500	461	4500	"Attack Against Wind Element +%d"	0	
14	12	221	2	5	2000	115	226	0	242	8500	258	8000	274	7500	290	7000	306	6500	337	6000	368	5500	399	5000	430	4500	461	4500	"Attack Against Dark Element +%d"	0	
// Rank 3
20	12	221	3	1	5000	121	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"Elemental Attack Dmg (PvP) +%d"	0	
21	12	221	3	2	5000	122	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"Elemental Attack Dmg (PvM) +%d"	0	
// Rank 4
30	12	221	4	1	5000	133	20	0	23	7500	28	7000	35	6500	44	6000	55	5500	68	5000	83	4500	103	4000	128	3500	158	3500	"Elemental Damage (PvP) +%d%%"	0	
31	12	221	4	2	5000	134	20	0	23	7500	28	7000	35	6500	44	6000	55	5500	68	5000	83	4500	103	4000	128	3500	158	3500	"Elemental Damage (PvM) +%d%%"	0	
// Rank 5
40	12	221	5	1	10000	143	15	0	18	7000	23	6500	30	6000	39	5500	50	5000	63	4500	78	4000	98	3500	123	3000	153	3000	"Elemental Damage +%d%%"	0	
//
// Beginners Errtel of Anger //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// Rank 1
250	12	222	1	14	10000	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Elemental Damage +%d"	0	
//
// Errtel of //////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// Rank 1
0	12	505	1	1	10000	101	93	0	96	6500	101	6500	108	6000	117	6000	128	5500	141	5000	156	5000	176	4500	201	4500	231	3000	"Elemental Damage +%d"	0	
// Rank 2
10	12	505	2	1	2000	111	368	0	384	6500	400	6500	416	6000	432	6000	448	5500	479	5000	510	5000	541	4500	572	4500	603	3000	"Attack Against Fire Element +%d"	0	
11	12	505	2	2	2000	112	368	0	384	6500	400	6500	416	6000	432	6000	448	5500	479	5000	510	5000	541	4500	572	4500	603	3000	"Attack Against Water Element +%d"	0	
12	12	505	2	3	2000	113	368	0	384	6500	400	6500	416	6000	432	6000	448	5500	479	5000	510	5000	541	4500	572	4500	603	3000	"Attack Against Earth Element +%d"	0	
13	12	505	2	4	2000	114	368	0	384	6500	400	6500	416	6000	432	6000	448	5500	479	5000	510	5000	541	4500	572	4500	603	3000	"Attack Against Wind Element +%d"	0	
14	12	505	2	5	2000	115	368	0	384	6500	400	6500	416	6000	432	6000	448	5500	479	5000	510	5000	541	4500	572	4500	603	3000	"Attack Against Dark Element +%d"	0	
// Rank 3
20	12	505	3	1	5000	121	117	0	122	6500	130	6500	141	6000	153	6000	167	5500	184	5000	204	5000	229	4500	259	4500	294	3000	"Elemental Attack Dmg (PvP) +%d"	0	
21	12	505	3	2	5000	122	117	0	122	6500	130	6500	141	6000	153	6000	167	5500	184	5000	204	5000	229	4500	259	4500	294	3000	"Elemental Attack Dmg (PvM) +%d"	0	
// Rank 4
30	12	505	4	1	5000	133	100	0	105	6000	113	5500	124	5000	136	4500	150	4000	167	3500	187	3000	212	2500	232	2000	267	1500	"Elemental Damage (PvP) +%d%%"	0	
31	12	505	4	2	5000	134	100	0	105	6000	113	5500	124	5000	136	4500	150	4000	167	3500	187	3000	212	2500	232	2000	267	1500	"Elemental Damage (PvM) +%d%%"	0	
// Rank 5
40	12	505	5	1	10000	143	73	0	76	5500	81	5000	88	4500	97	4000	108	3500	121	3000	136	2500	156	2000	184	1500	204	1000	"Elemental Damage +%d%%"	0	
//
// Errtel of Blessing ////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
